server_id,cluster,domain,title,total_users
0,1,mastodon.social,Mastodon,2711879
1,1,mstdn.social,Mastodon 🐘,260323
2,0,infosec.exchange,Infosec Exchange,75725
3,2,mas.to,mas.to,183608
5,1,hachyderm.io,Hachyderm.io,56318
7,2,mastodon.gamedev.place,Gamedev Mastodon,33441
8,0,techhub.social,TechHub,83099
9,2,mastodon.nl,Mastodon.nl door Stichting Activityclub,43744
10,2,social.tchncs.de,Mastodon,22825
11,0,kolektiva.social,kolektiva.social,40004
12,0,norden.social,norden.social,13802
13,0,mastodonapp.uk,Mastodon App UK,80374
14,2,universeodon.com,Universeodon Social Media,81677
15,0,mamot.fr,Mamot - Le Mastodon de La Quadrature du Net ,39731
17,3,c.im,C.IM,67782
18,0,mstdn.ca,Mastodon Canada,35494
19,0,sfba.social,SFBA.social,39192
22,2,mastodon.scot,mastodon.scot,29106
24,3,ohai.social,ohai.social,40004
25,0,mastodon.ie,mastodon.ie,21213
26,1,defcon.social,DEF CON Social,15536
29,0,social.linux.pizza,Linux.Pizza,11992
31,3,social.cologne,Mastodon,12065
32,2,flipboard.social,Flipboard,7482
33,2,livellosegreto.it,Livello Segreto,7673
34,3,mastodon.green,Mastodon.green,12004
36,0,indieweb.social, Indieweb.Social ,11825
37,2,nerdculture.de,NerdCulture,7163
38,0,ieji.de,ieji.de,15114
40,1,metalhead.club,Metalhead.club,5776
42,1,masto.nu,masto.nu,24284
44,1,mstdn.business,Mastodon For Business,27114
45,2,ravenation.club,Mastodon,27827
47,1,sunny.garden,Sunny Garden,2728
48,3,bark.lgbt,Bark!,6377
49,4,urbanists.social,Urbanists.Social,6398
50,1,hostux.social,Mastodon Hostux,8518
52,2,mastodon.me.uk,mastodon.me.uk,2698
54,3,freiburg.social,freiburg.social,2674
57,2,rheinneckar.social,rheinneckar.social,3528
58,3,mastoot.fr,Mastodon — Mastoot.fr,1880
61,1,glasgow.social,Glasgow.social,14907
63,1,mastoart.social,mastoart.social,654
64,4,peoplemaking.games,People Making Games,3027
67,0,cupoftea.social,CupOfTea.Social,5427
68,1,vmst.io,vmst·io,1230
69,0,union.place,The Union Place,5884
71,3,gaygeek.social,Gaygeek Social,2016
73,0,freeradical.zone,Free Radical,2893
76,0,woof.tech,Woof.tech (Mastodon),717
77,4,famichiki.jp,Famichiki,1544
78,1,oslo.town,oslo.town - Mastodon,2374
